ds,holiday,lower_window,upper_window
2024-01-07,genna,0,0
2024-01-19,timkat,0,0
2024-03-02,adwa_victory_day,0,0
2024-05-05,patriots_victory_day,0,0
2024-05-28,derg_downfall_day,0,0
2024-09-11,ethiopian_new_year,0,0
2024-09-27,meskel,0,0
2025-01-07,genna,0,0
2025-01-19,timkat,0,0
2025-03-02,adwa_victory_day,0,0
2025-05-05,patriots_victory_day,0,0
2025-05-28,derg_downfall_day,0,0
2025-09-11,ethiopian_new_year,0,0
2025-09-27,meskel,0,0
2026-01-07,genna,0,0
2026-01-19,timkat,0,0
2026-03-02,adwa_victory_day,0,0
2026-05-05,patriots_victory_day,0,0
2026-05-28,derg_downfall_day,0,0
2026-09-11,ethiopian_new_year,0,0
2026-09-27,meskel,0,0
2027-01-07,genna,0,0
2027-01-19,timkat,0,0
2027-03-02,adwa_victory_day,0,0
2027-05-05,patriots_victory_day,0,0
2027-05-28,derg_downfall_day,0,0
2027-09-11,ethiopian_new_year,0,0
2027-09-27,meskel,0,0
2028-01-07,genna,0,0
2028-01-19,timkat,0,0
2028-03-02,adwa_victory_day,0,0
2028-05-05,patriots_victory_day,0,0
2028-05-28,derg_downfall_day,0,0
2028-09-11,ethiopian_new_year,0,0
2028-09-27,meskel,0,0
